,silhouette,jaccard,dasgupta,clustering_accuracy,vectorizer_type
0,0.07816135883331299,0.14229905264185955,0.8314738303234406,0.38596491228070173,dicta-il/BEREL
1,0.08910192549228668,0.12912048366201237,0.8183222268672383,0.35810113519091846,onlplab/alephbert-base
2,0.08902868628501892,0.14495288059846498,0.833365870617347,0.3560371517027864,dicta-il/dictabert
3,0.1012922003865242,0.1431022649279341,0.8248976405868418,0.3653250773993808,dicta-il/MsBERT
4,0.08651156723499298,0.15233035498671818,0.8262649825324118,0.3797729618163055,yonatanlou/BEREL-finetuned-DSS-maskedLM
5,0.09571217745542526,0.14854415274463006,0.775002186705033,0.3746130030959752,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
6,0.08731568604707718,0.1274440849627233,0.8124008846150307,0.34262125902992774,yonatanlou/dictabert-finetuned-DSS-maskedLM
7,0.05230763585232013,0.15115054286177282,0.8679900860503075,0.38390092879256965,tfidf
8,0.04159817448009594,0.11285290605862189,0.7971278724130504,0.3508771929824561,trigram
9,0.4552514938602151,0.05855672784614634,0.5032431413123623,0.16821465428276575,starr
