silhouette,jaccard,dasgupta,epoch,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
0.6053819,0.691487415665049,0.8168429742067576,50,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,3807
0.5645948,0.6950532416767758,0.7478768393827995,53,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,3807
0.57903165,0.6763205298298979,0.7233268558374983,57,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,BOW-n_gram,3807
0.5706592,0.6128588562814291,0.6519351783963326,61,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,starr,3807
0.57687443,0.6806075043385468,0.8136112745680876,43,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,3807
0.5428725,0.7079428623419162,0.7364318031266781,43,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,3807
0.5185746,0.6241501642009072,0.6982462338479078,46,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,BOW-n_gram,3807
0.53999037,0.6055284409532099,0.6382386685154925,48,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,starr,3807
0.65693593,0.6959041689516866,0.8230591411182036,54,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,3807
0.6190704,0.6928370718342295,0.7232104471987715,57,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram,3807
0.63310575,0.684065563146383,0.7182418653944269,56,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,BOW-n_gram,3807
0.5966842,0.6404823156371864,0.6470936125599445,64,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,starr,3807
0.6598146,0.6849316544050325,0.8187838434730047,53,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,3807
0.60430354,0.6733115144302291,0.7455309877262156,51,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram,3807
0.6324576,0.6797358423268357,0.7249103397035424,66,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,BOW-n_gram,3807
0.67239296,0.6525090238011235,0.6153390766052232,56,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,starr,3807
