,silhouette,jaccard,dasgupta,clustering_accuracy,vectorizer_type
0,0.1613868921995163,0.6243775933609959,0.7971459709400595,0.7637271214642263,dicta-il/BEREL
1,0.2685376703739166,0.7014970888370596,0.8229289840033504,0.8219633943427621,onlplab/alephbert-base
2,0.1824631541967392,0.5435709824217008,0.8301715100864111,0.6938435940099834,dicta-il/dictabert
3,0.19486568868160248,0.5884906019263025,0.8572771789737854,0.7287853577371048,dicta-il/MsBERT
4,0.10874675214290619,0.4490739033713113,0.8313402348976853,0.5424292845257903,yonatanlou/BEREL-finetuned-DSS-maskedLM
5,0.3024703860282898,0.7037952817247277,0.8322698631264461,0.8236272878535774,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
6,0.31730592250823975,0.6946603725584419,0.8104622982949068,0.8169717138103162,yonatanlou/dictabert-finetuned-DSS-maskedLM
7,0.023460501537647137,0.6564060655588849,0.8848403250767989,0.7870216306156406,tfidf
8,0.4846573764660898,0.772745504378635,0.7886797652355441,0.870216306156406,trigram
9,0.8185119617058216,0.7732331631525696,0.48433657379747086,0.8768718801996672,starr
