,silhouette,jaccard,dasgupta,clustering_accuracy,vectorizer_type
0,0.07845702767372131,0.20599094972377224,0.8282170522197148,0.43686354378818737,dicta-il/BEREL
1,0.07815442234277725,0.18944728979940248,0.8297403453464829,0.4103869653767821,onlplab/alephbert-base
2,0.0847008228302002,0.191998929622692,0.8445546107190781,0.40835030549898166,dicta-il/dictabert
3,0.09116821736097336,0.18977728704925537,0.8378420583275874,0.3981670061099796,dicta-il/MsBERT
4,0.08442496508359909,0.21237257366289625,0.8369931986808085,0.4378818737270876,yonatanlou/BEREL-finetuned-DSS-maskedLM
5,0.08295740932226181,0.1699633502209766,0.8100033619918318,0.3910386965376782,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
6,0.08292920142412186,0.1662882935819022,0.8082622246962876,0.3879837067209776,yonatanlou/dictabert-finetuned-DSS-maskedLM
7,0.05038106452407117,0.21366397245205415,0.8822735420627212,0.4592668024439919,tfidf
8,0.01240093094415884,0.16256530269720823,0.8127970895588609,0.390020366598778,trigram
9,0.4242202615789025,0.06521863226395708,0.47880480956783156,0.16395112016293278,starr
